id,first_name,received,administrator,guide_code,Country of Origin,Initial_guide_code,custom trip,trip_code,status,departure_date,duration,guide_confirmed_date,guide_availability confirmed,availability,guide_recommendation,main_activity,skill_level,destination_country,people_count,cancellation_reason,source,base_price_local_currency,price_currency,exchange_rate,payment_method
20404,Laura,27/11/2018,,280,United Kingdom,280,,459,1_cancelled,,3,29/11/2018,Affirmative,"From 07-Feb-2019 to 10-Feb-2019
From 14-Feb-2019 to 17-Feb-2019
From 21-Feb-2019 to 24-Feb-2019"," 
",Snowshoeing,beginner,74,2,Pending - Form not filled,Organic,1440,EUR,1,
20400,Valentin,27/11/2018,,137,Austria,137,,535,1_cancelled,,11,28/11/2018,Affirmative,From 19-Apr-2019 to 11-May-2019," 
",Heliskiing,intermediate,80,2,Pending - Form not filled,Unknown,to confirm,EUR,1,
20398,Vanessa,27/11/2018,,262,Colombia,262,,10,1_cancelled,,1,27/11/2018,Affirmative,From 03-Jan-2019 to 06-Jan-2019," 
",Mountaineering,beginner,108,1,Pending - Form not filled,Organic,360,EUR,1,
21093,Eric,14/12/2018,,52,,41,Yes,#N/A,2_sold,4/01/2019,3,18/12/2018,Affirmative,From 04-Jan-2019 to 06-Jan-2019," 
",Rock Climbing,intermediate,44,2,#NA,Referral,3000,USD,0.879,Credit card
20393,Michael,27/11/2018,,137,United Kingdom,137,Yes,661,1_cancelled,,11,30/11/2018,Affirmative,From 20-Dec-2018 to 27-Dec-2018," 
",Heliskiing,,80,2,Pending - Form not filled,Referral,1200,EUR,1,
20390,Grace,27/11/2018,,132,Malaysia,132,,702,1_cancelled,,1,25/03/2018,None,," 
",Mountaineering,,110,Unknown,Pending - Form not filled,Referral,to confirm,JPY,0.0077,
20871,Lia,9/12/2018,,42,United States,42,,153,2_sold,11/02/2019,4,15/12/2018,Affirmative,From 10-Feb-2019 to 15-Feb-2019," 
",Rock Climbing,intermediate,205,1,#NA,Organic,600,EUR,1,Credit card
20381,Simran,26/11/2018,,270,,124,Yes,#N/A,1_cancelled,,3,12/12/2018,Affirmative,"From 27-Jun-2019 to 30-Jun-2019
From 04-Jul-2019 to 07-Jul-2019"," 
",Hiking,First-timer,199,1,Pending - Form not filled,Unknown,540,EUR,1,
20380,Ken,26/11/2018,,236,United States,236,,81,1_cancelled,,3,26/11/2018,Affirmative,From 16-Sep-2019 to 30-Sep-2019," 
",Hiking,intermediate,110,1,Pending - Form not filled,Organic,80000,JPY,0.0077,
20376,Pieter,26/11/2018,,82,United States,82,,71,1_cancelled,,3,4/12/2018,Affirmative,"From 30-Jan-2019 to 03-Feb-2019
From 06-Feb-2019 to 10-Feb-2019
From 20-Feb-2019 to 24-Feb-2019"," 
",Splitboarding,advanced,232,1,Pending - Form not filled,Organic,895,USD,0.879,
20374,Andrew,26/11/2018,,282,United Kingdom,282,,102,1_cancelled,,4,26/11/2018,Affirmative,From 22-Jan-2019 to 26-Jan-2019," 
",Mountaineering,beginner,108,2,Pending - Form not filled,Organic,1500,EUR,1,
20586,Angella,2/12/2018,,325,United States,325,,394,2_sold,26/01/2019,1,7/12/2018,Affirmative,From 26-Jan-2019 to 27-Jan-2019," 
",Rock Climbing,beginner,232,2,#NA,Organic,430,USD,0.879,Credit card
20371,Karl,26/11/2018,,15,United Kingdom,15,,198,1_cancelled,,2,1/12/2018,Affirmative,From 01-Mar-2019 to 30-Sep-2020," 
",Mountaineering,Pro,212,1,Pending - Form not filled,Organic,4900,CHF,0.8788,
20367,Marco,26/11/2018,,92,Canada,173,,168,1_cancelled,,11,5/12/2018,None,From 24-Jan-2019 to 03-Feb-2019," 
",Mountaineering,,63,1,Pending - Form not filled,Organic,to confirm,USD,0.879,
