"selection1_Medecin,""selection1_url"",""selection1_Adresse"",""selection1_Rating"""
"Hélène Nowak,""https://www.yelp.fr/biz/h%C3%A9l%C3%A8ne-nowak-paris?osq=Gyn%C3%A9cologue"",""57 Rue Montreuil"",""5 star rating"""
"Nelly Ascoët,""https://www.yelp.fr/biz/nelly-asco%C3%ABt-paris?osq=Gyn%C3%A9cologue"",""159 Rue Legendre"",""5 star rating"""
"Claire Nyssen-Noël,""https://www.yelp.fr/biz/claire-nyssen-no%C3%ABl-paris?osq=Gyn%C3%A9cologue"",""75 Rue Rennes"",""5 star rating"""
"Christine Deprez,""https://www.yelp.fr/biz/christine-deprez-paris?osq=Gyn%C3%A9cologue"",""3 Place Gambetta"",""1 star rating"""
"SM Rudich et Lasry médecins,""https://www.yelp.fr/biz/sm-rudich-et-lasry-m%C3%A9decins-paris-3?osq=Gyn%C3%A9cologue"",""34 Rue Ordener"",""3.5 star rating"""
"Brochard Laure-Anne,""https://www.yelp.fr/biz/brochard-laure-anne-paris-2?osq=Gyn%C3%A9cologue"",""14 Boulevard Richard Lenoir"",""5 star rating"""
"Paule Vitman,""https://www.yelp.fr/biz/paule-vitman-paris?osq=Gyn%C3%A9cologue"",""44 Avenue Flandre"","""""
"Marie-Hélène Poissonnier,""https://www.yelp.fr/biz/marie-h%C3%A9l%C3%A8ne-poissonnier-st-cloud?osq=Gyn%C3%A9cologue"",""20 Boulevard République"",""5 star rating"""
"Michèle Fari,""https://www.yelp.fr/biz/mich%C3%A8le-fari-paris?osq=Gyn%C3%A9cologue"",""20 Plaine"",""5 star rating"""
"Dr Afriat,""https://www.yelp.fr/biz/dr-afriat-paris?osq=Gyn%C3%A9cologue"",""11 rue Ponscarme"",""5 star rating"""
"Delphine Dupont,""https://www.yelp.fr/biz/delphine-dupont-paris?osq=Gyn%C3%A9cologue"",""17 Rue Bobillot"",""4 star rating"""
"Marie-Claude Guedon-Pierrugues,""https://www.yelp.fr/biz/marie-claude-guedon-pierrugues-paris?osq=Gyn%C3%A9cologue"",""23 bis Rue Cordelières"",""3.5 star rating"""
"Fallourd-Gauvry Véronique,""https://www.yelp.fr/biz/fallourd-gauvry-v%C3%A9ronique-paris-3?osq=Gyn%C3%A9cologue"",""118 Avenue Jean Jaurès"","""""
"Dominique Vexiau-Robert,""https://www.yelp.fr/biz/vexiau-robert-dominique-paris?osq=Gyn%C3%A9cologue"",""54 Rue Meuniers"",""5 star rating"""
"Elie Rizk,""https://www.yelp.fr/biz/rizk-elie-paris?osq=Gyn%C3%A9cologue"",""45 Rue St Lambert"",""5 star rating"""
"Thiounn-Gelbert Anne,""https://www.yelp.fr/biz/thiounn-gelbert-anne-paris-2?osq=Gyn%C3%A9cologue"",""335 Rue Vaugirard"",""5 star rating"""
"Florence Fredouille,""https://www.yelp.fr/biz/florence-fredouille-paris?osq=Gyn%C3%A9cologue"",""2 rue Jules Chaplain"",""1 star rating"""
"Renée Vergnes,""https://www.yelp.fr/biz/ren%C3%A9e-vergnes-paris?osq=Gyn%C3%A9cologue"",""247 Rue Pyrénées"",""1 star rating"""
"Danielle Dreyfus-Maillet,""https://www.yelp.fr/biz/danielle-dreyfus-maillet-neuilly-sur-seine?osq=Gyn%C3%A9cologue"",""88 bis avenue Charles de Gaulle"",""5 star rating"""
"Serge Sananes,""https://www.yelp.fr/biz/serge-sananes-paris?osq=Gyn%C3%A9cologue"",""30 avenue du Prés Wilson"",""5 star rating"""
"Elisabeth Arbogast,""https://www.yelp.fr/biz/elisabeth-arbogast-bois-colombes?osq=Gyn%C3%A9cologue"",""45 Rue Gén Leclerc"",""5 star rating"""
"Cabinet Gynécologie Docteurs Blasco-Fommarty,""https://www.yelp.fr/biz/cabinet-gyn%C3%A9cologie-docteurs-blasco-fommarty-courbevoie-2?osq=Gyn%C3%A9cologue"",""42 Rue Alma"",""5 star rating"""
"Cabinet Sabbagh Stéphane,""https://www.yelp.fr/biz/cabinet-sabbagh-st%C3%A9phane-paris-3?osq=Gyn%C3%A9cologue"",""8 Avenue Ternes"",""5 star rating"""
"Lucien Chaby,""https://www.yelp.fr/biz/lucien-chaby-paris?osq=Gyn%C3%A9cologue"",""45 Rue Maubeuge"",""5 star rating"""
"Debache Claude,""https://www.yelp.fr/biz/debache-claude-paris-2?osq=Gyn%C3%A9cologue"",""12 Avenue Montaigne"",""5 star rating"""
"Jean-Luc Mergui,""https://www.yelp.fr/biz/jean-luc-mergui-paris?osq=Gyn%C3%A9cologue"",""60 Avenue Iéna"",""5 star rating"""
"Jean-Jacques Weitzmann,""https://www.yelp.fr/biz/jean-jacques-weitzmann-paris?osq=Gyn%C3%A9cologue"",""45 Rue Maubeuge"",""3.5 star rating"""
"Dauvergne Patrick,""https://www.yelp.fr/biz/dauvergne-patrick-vincennes?osq=Gyn%C3%A9cologue"",""15 Cours Marigny"",""4.5 star rating"""
"Siger Dominique,""https://www.yelp.fr/biz/siger-dominique-paris-2?osq=Gyn%C3%A9cologue"",""115 Boulevard Magenta"",""4 star rating"""
"Albert Goldberg,""https://www.yelp.fr/biz/albert-goldberg-paris?osq=Gyn%C3%A9cologue"",""80 Rue St Dominique"",""5 star rating"""
"Claude-Michèle Ohlgiesser,""https://www.yelp.fr/biz/claude-mich%C3%A8le-ohlgiesser-paris?osq=Gyn%C3%A9cologue"",""19 Rue Monge"",""1.5 star rating"""
"Alexandre Assor,""https://www.yelp.fr/biz/alexandre-assor-paris?osq=Gyn%C3%A9cologue"",""10 Rue Péclet"",""5 star rating"""
"Annie Maarek,""https://www.yelp.fr/biz/annie-maarek-vincennes?osq=Gyn%C3%A9cologue"",""164 Rue Fontenay"",""2.5 star rating"""
"Richard Benhamou,""https://www.yelp.fr/biz/richard-benhamou-puteaux?osq=Gyn%C3%A9cologue"",""58 rue Eugène Eichenberger"",""4 star rating"""
