Périmètre,Nature,Date,Heures,Consommation,Prévision J-1,Prévision J,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogén.,Fioul - Autres,Gaz - TAC,Gaz - Cogén.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + éclusée,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioénergies - Déchets,Bioénergies - Biomasse,Bioénergies - Biogaz
France,Données temps réel,2020-03-01,00:00,60835,59600,60800,237,12,2780,43917,11220,0,7915,-752,764,-5384,26,-1506,-1482,-3236,-2905,2934,1,21,215,-1,2568,213,0,5488,2117,310,196,305,263
France,Données temps réel,2020-03-01,00:15,60297,58850,59900,203,14,2773,44211,11164,0,7798,-788,742,-5954,26,,,,,,2,21,180,-1,2562,212,0,5483,2246,69,206,288,248
France,Données temps réel,2020-03-01,00:30,58978,58100,59000,201,12,2775,43136,11219,0,7661,-792,742,-6104,26,-1506,-1482,-3236,-2905,2934,0,21,180,-1,2565,211,0,5468,2125,68,206,288,248
France,Données temps réel,2020-03-01,00:45,57135,57100,57950,169,12,2764,43050,10946,0,7535,-2207,742,-6009,26,,,,,,2,21,146,-2,2555,211,0,5454,2011,70,206,288,248
France,Données temps réel,2020-03-01,01:00,56870,56100,56900,168,12,2766,42651,10945,0,7534,-2169,740,-5909,27,-1506,-1874,-3236,-2629,4560,1,21,146,-1,2553,214,0,5467,1998,69,204,288,248
France,Données temps réel,2020-03-01,01:15,56912,56150,57000,169,12,2766,41663,10925,0,7357,-2168,741,-4684,27,,,,,,2,21,146,-1,2555,212,0,5410,1878,69,205,288,248
France,Données temps réel,2020-03-01,01:30,56132,56200,57100,168,11,2764,41072,10845,0,7359,-2168,743,-4792,27,-1506,-1874,-3236,-2629,4560,1,21,146,-1,2554,211,0,5379,1910,70,207,288,248
France,Données temps réel,2020-03-01,01:45,56210,55950,56850,169,11,2762,40732,10753,0,7326,-1623,741,-4790,27,,,,,,2,21,146,-1,2553,210,0,5370,1954,2,205,288,248
France,Données temps réel,2020-03-01,02:00,55837,55700,56600,168,12,2765,39848,10725,0,7259,-1779,740,-4035,28,-1456,-1090,-3236,-2604,4243,1,21,146,-2,2555,212,0,5355,1904,0,204,288,248
France,Données temps réel,2020-03-01,02:15,55730,54800,55650,168,13,2572,39588,10631,0,7240,-1826,741,-3526,27,,,,,,1,21,146,0,2385,187,0,5317,1923,0,205,288,248
France,Données temps réel,2020-03-01,02:30,54684,53900,54700,169,13,2589,38845,10662,0,7225,-1967,743,-3725,27,-1456,-1090,-3236,-2604,4243,2,21,146,0,2386,203,0,5352,1873,0,207,288,248
France,Données temps réel,2020-03-01,02:45,53674,53100,53850,168,13,2592,38497,10601,0,7107,-1983,743,-4187,28,,,,,,1,21,146,0,2383,209,0,5370,1737,0,207,288,248
France,Données temps réel,2020-03-01,03:00,53049,52300,53000,168,12,2593,37843,10604,0,7038,-2460,743,-3621,28,-1456,-1080,-2946,-2567,5540,1,21,146,-1,2385,209,0,5367,1671,0,208,287,248
France,Données temps réel,2020-03-01,03:15,52345,51600,52400,167,12,2596,37454,10579,0,6794,-3505,742,-2628,29,,,,,,0,21,146,-1,2386,211,0,5277,1517,0,206,288,248
France,Données temps réel,2020-03-01,03:30,51797,50900,51800,168,13,2574,37124,10582,0,6841,-3504,743,-2876,29,-1456,-1080,-2946,-2567,5540,1,21,146,0,2384,190,0,5307,1534,0,207,288,248
France,Données temps réel,2020-03-01,03:45,51084,50600,51300,167,13,2590,36428,10573,0,6766,-3520,745,-2805,30,,,,,,0,21,146,-1,2386,205,0,5267,1499,0,209,288,248
France,Données temps réel,2020-03-01,04:00,50759,50300,50800,167,12,2590,35843,10497,0,6761,-3515,743,-2471,30,-856,-841,-2946,-2329,4769,0,21,146,0,2384,206,0,5281,1480,0,207,288,248
France,Données temps réel,2020-03-01,04:15,50209,50000,50500,169,12,2595,35737,10411,0,6770,-3507,741,-2848,30,,,,,,2,21,146,-1,2388,208,0,5310,1460,0,205,288,248
France,Données temps réel,2020-03-01,04:30,50198,49700,50200,169,12,2595,35439,10315,0,6786,-3578,742,-2408,30,-856,-841,-2946,-2329,4769,2,21,146,-1,2388,208,0,5282,1504,0,206,288,248
France,Données temps réel,2020-03-01,04:45,49781,49700,49900,169,11,2593,35269,10119,0,6719,-3419,744,-2558,31,,,,,,2,21,146,-1,2387,207,0,5266,1453,0,207,289,248
France,Données temps réel,2020-03-01,05:00,49886,49700,49600,168,12,2598,35056,9952,0,6726,-3413,742,-2083,31,46,-514,-2986,-2408,5010,1,21,146,-2,2389,211,0,5280,1446,0,205,289,248
France,Données temps réel,2020-03-01,05:15,50548,50100,50050,168,12,2601,34988,9809,0,6726,-3413,744,-1213,31,,,,,,1,21,146,-1,2390,212,0,5298,1428,0,207,289,248
France,Données temps réel,2020-03-01,05:30,50477,50500,50500,167,12,2601,34845,9607,0,6692,-3415,742,-904,31,46,-514,-2986,-2408,5010,0,21,146,-2,2391,212,0,5291,1401,0,206,288,248
France,Données temps réel,2020-03-01,05:45,50291,51050,50600,168,13,2600,35068,9430,0,6727,-3332,742,-1251,31,,,,,,1,21,146,-1,2391,210,0,5307,1420,0,206,288,248
France,Données temps réel,2020-03-01,06:00,50736,51600,50700,168,13,2598,35263,9279,0,6772,-3318,742,-907,31,166,-839,-2986,-2590,4802,1,21,146,-1,2388,211,0,5324,1448,0,205,289,248
France,Données temps réel,2020-03-01,06:15,51244,51800,51000,165,12,2594,35762,9159,0,6973,-2801,743,-1488,30,,,,,,-2,21,146,-2,2389,207,0,5456,1517,0,206,289,248
France,Données temps réel,2020-03-01,06:30,51321,52000,51300,165,13,2591,35615,9169,0,6930,-2646,743,-1387,30,166,-839,-2986,-2590,4802,-2,21,146,-2,2388,205,0,5448,1482,0,206,289,248
France,Données temps réel,2020-03-01,06:45,51576,52100,51700,165,13,2598,35989,9197,0,6963,-2641,744,-1578,30,,,,,,-2,21,146,-1,2389,210,0,5437,1526,0,207,289,248
France,Données temps réel,2020-03-01,07:00,52017,52200,52100,165,13,2598,36334,9132,0,7000,-2484,743,-1612,30,-588,-557,-3216,-2864,4930,-2,21,146,-2,2389,211,0,5433,1567,0,206,289,248
France,Données temps réel,2020-03-01,07:15,52250,52350,52150,165,13,2650,36746,9223,0,7009,-2525,742,-1919,30,,,,,,-2,21,146,-1,2454,197,0,5469,1540,0,205,289,248
France,Données temps réel,2020-03-01,07:30,52171,52500,52200,165,13,2655,36599,9082,170,6970,-2525,741,-1699,30,-588,-557,-3216,-2864,4930,-2,21,146,-1,2452,204,0,5429,1541,0,205,288,248
France,Données temps réel,2020-03-01,07:45,51958,53050,52500,168,11,2659,37058,8905,206,7046,-2521,740,-2314,30,,,,,,1,21,146,-1,2453,207,0,5482,1564,0,204,288,248
France,Données temps réel,2020-03-01,08:00,52813,53600,52800,168,13,2662,37915,8736,239,7170,-2511,739,-2318,29,-1308,-276,-3216,-3051,5744,1,21,146,-1,2454,209,0,5505,1665,0,204,287,248
France,Données temps réel,2020-03-01,08:15,53160,54200,53400,168,12,2644,38255,8533,386,7111,-2004,744,-2689,29,,,,,,1,21,146,0,2451,193,0,5530,1581,0,208,288,248
France,Données temps réel,2020-03-01,08:30,53985,54800,54000,169,12,2655,39049,8378,661,7140,-2000,743,-2822,29,-1308,-276,-3216,-3051,5744,2,21,146,-1,2454,202,0,5523,1617,0,206,289,248
France,Données temps réel,2020-03-01,08:45,54607,55550,54550,168,12,2656,39624,8252,815,7130,-1947,742,-2845,28,,,,,,1,21,146,0,2449,207,0,5542,1588,0,206,288,248
France,Données temps réel,2020-03-01,09:00,55245,56300,55100,168,12,2655,39867,8164,1076,7138,-1959,741,-2617,28,-1307,-1327,-2822,-2877,5939,1,21,146,-1,2449,207,0,5494,1644,0,206,287,248
France,Données temps réel,2020-03-01,09:15,55817,57000,55850,169,12,2625,40047,8341,1241,7085,-1785,742,-2660,28,,,,,,2,21,146,-1,2440,186,0,5516,1569,0,206,288,248
France,Données temps réel,2020-03-01,09:30,56603,57700,56600,168,11,2645,40308,8404,1574,7103,-1797,743,-2556,27,-1307,-1327,-2822,-2877,5939,1,21,146,-2,2441,206,0,5523,1580,0,206,289,248
France,Données temps réel,2020-03-01,09:45,56976,58100,57000,169,13,2648,40610,8435,1809,7128,-1839,742,-2739,27,,,,,,2,21,146,-1,2441,208,0,5541,1587,0,206,288,248
France,Données temps réel,2020-03-01,10:00,57411,58500,57400,169,12,2648,40505,8578,1922,7163,-1680,742,-2648,27,-1505,-1145,-2759,-3051,5676,2,21,146,-1,2440,209,0,5535,1626,2,205,289,248
France,Données temps réel,2020-03-01,10:15,57890,58900,57750,167,12,2595,40403,8752,2186,7166,-1523,742,-2610,26,,,,,,0,21,146,-1,2431,165,0,5515,1649,2,205,289,248
France,Données temps réel,2020-03-01,10:30,58072,59300,58100,168,12,2606,40601,8863,2303,7168,-1520,742,-2871,26,-1505,-1145,-2759,-3051,5890,1,21,146,0,2431,175,0,5521,1645,2,205,289,248
France,Données temps réel,2020-03-01,10:45,58482,59550,58300,168,13,2627,40550,8835,2500,7107,-1547,743,-2514,26,,,,,,1,21,146,-1,2431,197,0,5521,1584,2,207,288,248
France,Données temps réel,2020-03-01,11:00,58521,59800,58500,169,13,2634,40848,8761,2437,7144,-1569,742,-2658,26,-1505,-444,-2759,-2832,5356,2,21,146,-2,2430,206,0,5544,1597,3,206,288,248
France,Données temps réel,2020-03-01,11:15,59281,60050,58700,169,13,2528,40697,8782,2671,7173,-1367,742,-2127,26,,,,,,2,21,146,-2,2416,114,0,5572,1599,2,206,288,248
France,Données temps réel,2020-03-01,11:30,58904,60300,58900,169,12,2596,40406,8839,2851,7163,-1365,737,-2504,26,-1505,-444,-2759,-2832,5356,2,21,146,0,2416,180,0,5561,1601,1,203,286,248
France,Données temps réel,2020-03-01,11:45,59776,61000,60000,169,12,2599,40575,8824,3143,7364,-1361,737,-2286,26,,,,,,2,21,146,0,2414,185,0,5582,1666,116,208,281,248
France,Données temps réel,2020-03-01,12:00,60315,61700,61100,169,12,2560,41054,8873,3224,7377,-1350,743,-2347,25,-1505,-96,-3227,-2250,4702,2,21,146,-1,2417,144,0,5595,1666,116,207,288,248
France,Données temps réel,2020-03-01,12:15,60854,61600,60850,169,12,2583,40590,8505,3241,7637,-103,745,-2525,25,,,,,,2,21,146,0,2409,174,0,5517,2004,116,208,289,248
France,Données temps réel,2020-03-01,12:30,60903,61500,60600,168,12,2606,39600,8021,3146,8646,-103,739,-1932,25,-1505,-96,-3227,-2250,4702,1,21,146,0,2409,197,0,5466,3020,160,206,285,248
France,Données temps réel,2020-03-01,12:45,61672,62100,61350,167,13,2606,40061,7709,3590,8750,-100,744,-1868,25,,,,,,0,21,146,0,2409,197,0,5468,3117,165,207,289,248
France,Données temps réel,2020-03-01,13:00,61196,62700,62100,169,12,2575,40191,7594,3669,8559,-211,744,-2106,25,-1604,-229,-3227,-2250,3968,2,21,146,0,2409,166,0,5472,2930,157,207,289,248
France,Données temps réel,2020-03-01,13:15,60153,61050,60750,169,11,2592,40380,7438,3792,8467,-210,744,-3230,25,,,,,,2,21,146,-2,2402,192,0,5420,3000,47,208,288,248
France,Données temps réel,2020-03-01,13:30,59418,59400,59400,168,12,2558,39789,7351,3793,8218,-275,743,-2939,25,-1604,-229,-3227,-2250,3968,1,21,146,0,2402,156,0,5386,2795,37,208,287,248
France,Données temps réel,2020-03-01,13:45,58195,58550,58150,168,12,2593,39984,7225,3509,7765,-610,742,-3193,26,,,,,,1,21,146,-2,2401,194,0,5476,2289,0,205,289,248
France,Données temps réel,2020-03-01,14:00,56882,57700,56900,167,12,2586,39717,6760,3417,7470,-615,741,-3373,26,-1479,502,-3227,-2125,2218,0,21,146,-1,2397,190,0,5460,2010,0,205,288,248
France,Données temps réel,2020-03-01,14:15,56410,57500,56450,165,12,2582,40309,6707,3202,7565,-663,740,-4209,26,,,,,,-2,21,146,0,2395,187,0,5471,1964,130,204,288,248
France,Données temps réel,2020-03-01,14:30,56195,57300,56000,165,12,2579,40325,6707,3428,7526,-962,743,-4328,26,-1479,502,-3227,-2125,2218,-2,21,146,0,2393,186,0,5530,1996,0,207,288,248
France,Données temps réel,2020-03-01,14:45,55449,56450,55300,165,13,2597,40619,6698,3022,7374,-1694,743,-4088,27,,,,,,-2,21,146,-1,2396,202,0,5517,1857,0,207,288,248
France,Données temps réel,2020-03-01,15:00,54988,55600,54600,165,13,2608,40624,6671,3031,7399,-1700,744,-4567,27,-1703,1169,-2713,-2318,667,-2,21,146,-1,2401,208,0,5548,1851,0,208,288,248
France,Données temps réel,2020-03-01,15:15,54688,55250,54400,165,13,2558,40660,6779,2689,7521,-1637,743,-4803,27,,,,,,-2,21,146,-1,2400,159,0,5638,1883,0,206,289,248
France,Données temps réel,2020-03-01,15:30,54332,54900,54200,165,12,2583,40877,6970,2460,7573,-1834,746,-5220,27,-1703,1169,-2713,-2448,92,-2,21,146,0,2396,187,0,5701,1872,0,209,289,248
France,Données temps réel,2020-03-01,15:45,53722,54700,54100,165,12,2585,41082,7052,2260,7629,-1834,744,-5973,27,,,,,,-2,21,146,-1,2397,189,0,5709,1920,0,207,289,248
France,Données temps réel,2020-03-01,16:00,53528,54500,54000,165,12,2571,40705,7065,1957,7644,-1839,744,-5496,27,-1703,1200,-2713,-1151,-3566,-2,21,146,-2,2400,173,0,5662,1982,0,208,288,248
France,Données temps réel,2020-03-01,16:15,53628,54350,54000,165,12,2599,42537,7102,1898,7879,-1292,742,-8014,26,,,,,,-2,21,146,-1,2400,200,0,5676,2013,190,207,287,248
France,Données temps réel,2020-03-01,16:30,53699,54200,54000,165,12,2610,44046,7191,1749,7752,-1285,741,-9282,25,-1703,1200,-2713,-1351,-3566,-2,21,146,0,2408,202,0,5740,1857,155,206,287,248
France,Données temps réel,2020-03-01,16:45,53950,54200,53950,165,12,2610,44557,7168,1366,7842,-1286,742,-9226,25,,,,,,-2,21,146,-2,2405,207,0,5749,1832,261,207,287,248
France,Données temps réel,2020-03-01,17:00,53849,54200,53900,165,12,2623,44792,7137,1179,7892,-969,745,-9727,25,-2000,1500,-2750,-2001,-4611,-2,21,146,0,2414,209,0,5812,1809,271,208,289,248
France,Données temps réel,2020-03-01,17:15,54430,54600,54300,165,12,2640,45489,7228,949,8239,-968,744,-10068,25,,,,,,-2,21,146,0,2432,208,0,5925,2029,285,207,289,248
France,Données temps réel,2020-03-01,17:30,54638,55000,54700,165,12,2640,45253,7111,702,8881,-647,744,-10223,25,-2000,1500,-2750,-2001,-4611,-2,21,146,0,2433,207,0,5921,2055,905,206,290,248
France,Données temps réel,2020-03-01,17:45,55032,55900,55550,165,12,2639,45511,7241,473,8970,-647,743,-10075,25,,,,,,-2,21,146,-1,2431,209,0,5924,2047,999,207,288,248
France,Données temps réel,2020-03-01,18:00,55826,56800,56400,165,12,2658,45488,7161,264,9633,-650,743,-9648,25,-2000,1550,-3373,-551,-4716,-2,21,146,-2,2450,210,0,6078,2254,1301,207,288,248
France,Données temps réel,2020-03-01,18:15,56864,58250,57850,165,12,2687,45898,7196,185,10115,-696,743,-9441,25,,,,,,-2,21,146,-1,2477,211,0,6444,2577,1094,207,288,248
France,Données temps réel,2020-03-01,18:30,58568,59700,59300,165,13,2687,46620,7203,165,10780,-93,743,-9715,24,-2000,1550,-3373,-551,-4716,-2,21,146,0,2479,208,0,6476,2836,1468,207,288,248
France,Données temps réel,2020-03-01,18:45,60972,62100,61650,168,12,2687,47052,7186,142,12329,-93,742,-9253,23,,,,,,1,21,146,-1,2480,208,0,6539,3660,2130,206,288,248
France,Données temps réel,2020-03-01,19:00,62734,64500,64000,168,13,2681,47132,7082,130,13493,-93,741,-8613,23,-2000,1550,-3379,-1430,-3041,1,21,146,-2,2473,210,0,6665,4009,2819,206,287,248
France,Données temps réel,2020-03-01,19:15,63917,64500,64000,168,12,2684,46866,7147,135,14110,-93,746,-7858,23,,,,,,1,21,146,-1,2479,206,0,6773,4279,3058,208,290,248
France,Données temps réel,2020-03-01,19:30,64287,64500,64000,169,12,2686,47080,7331,134,14606,-92,744,-8383,22,-2000,1550,-3379,-1430,-2579,2,21,146,-1,2480,207,0,6892,4598,3116,207,289,248
France,Données temps réel,2020-03-01,19:45,64111,64000,63600,169,12,2687,46897,7434,0,14228,-93,744,-8094,23,,,,,,2,21,146,-1,2479,209,0,6812,4420,2996,207,289,248
France,Données temps réel,2020-03-01,20:00,63803,63500,63200,169,11,2696,46998,7594,0,14110,-92,743,-8559,23,-2000,1550,-3406,-3049,-2510,2,21,146,0,2480,216,0,6844,4551,2715,207,288,248
France,Données temps réel,2020-03-01,20:15,63066,62800,62550,169,10,2697,47065,7679,0,14196,-92,743,-9535,22,,,,,,2,21,146,0,2485,212,0,6826,4926,2444,207,288,248
France,Données temps réel,2020-03-01,20:30,62214,62100,61900,169,12,2700,46883,7869,0,13178,-43,736,-9425,23,-2000,1550,-3406,-2973,-2290,2,21,146,0,2485,215,0,6610,4220,2348,201,287,248
France,Données temps réel,2020-03-01,20:45,61721,61550,61450,168,11,2700,46782,8128,0,12373,-44,737,-9271,23,,,,,,1,21,146,-2,2493,209,0,6631,3908,1834,202,287,248
France,Données temps réel,2020-03-01,21:00,61290,61000,61000,169,12,2705,46995,8252,0,11873,-43,738,-9541,23,-2000,970,-3256,-3051,-2046,2,21,146,-1,2493,213,0,6660,3957,1256,202,288,248
France,Données temps réel,2020-03-01,21:15,61023,60250,60300,168,12,2710,47023,8416,0,11063,-45,739,-9193,23,,,,,,1,21,146,0,2499,211,0,6533,3371,1159,203,288,248
France,Données temps réel,2020-03-01,21:30,59926,59500,59600,169,13,2713,47042,8158,0,10008,-43,740,-9009,24,-2000,970,-3256,-3051,-1896,2,21,146,-1,2501,213,0,6301,2544,1163,203,289,248
France,Données temps réel,2020-03-01,21:45,59445,58800,59000,168,12,2705,46766,8167,0,9295,-43,740,-8503,24,,,,,,1,21,146,-2,2497,210,0,6143,2177,975,203,289,248
France,Données temps réel,2020-03-01,22:00,59216,58100,58400,168,12,2706,46672,8051,0,9278,-44,739,-8506,24,-2000,1471,-3177,-3050,-1925,1,21,146,-1,2498,209,0,6165,2160,953,202,289,248
France,Données temps réel,2020-03-01,22:15,59566,58650,59000,169,13,2703,47363,7886,0,9294,-49,738,-8684,24,,,,,,2,21,146,-1,2502,202,0,6065,2178,1051,202,288,248
France,Données temps réel,2020-03-01,22:30,60325,59200,59600,168,13,2708,46887,7726,0,10164,-84,738,-8132,24,-2000,1471,-3177,-3050,-1300,1,21,146,-2,2501,209,0,6078,3096,990,202,288,248
France,Données temps réel,2020-03-01,22:45,62062,60400,60900,168,12,2715,46870,7798,0,10745,-100,738,-7014,24,,,,,,1,21,146,0,2503,212,0,6208,3392,1145,202,288,248
France,Données temps réel,2020-03-01,23:00,61784,61600,62200,169,13,2710,46960,7796,0,10824,-100,738,-7460,24,-1753,1495,-2914,-2354,-557,2,21,146,-1,2504,207,0,6281,3405,1138,202,288,248
France,Données temps réel,2020-03-01,23:15,61567,61750,62400,169,13,2700,46771,7727,0,10334,-113,741,-6912,24,,,,,,2,21,146,-1,2506,195,0,6219,3015,1100,204,289,248
France,Données temps réel,2020-03-01,23:30,61356,61900,62600,169,13,2704,46345,7890,0,9549,-274,738,-5914,24,-1753,1495,-2914,-2354,118,2,21,146,0,2505,199,0,6256,2660,633,201,289,248
France,Données temps réel,2020-03-01,23:45,61497,61700,62050,168,13,2704,46431,7815,0,9485,-280,741,-5714,24,,,,,,1,21,146,0,2506,198,0,6281,2655,549,205,288,248
France,Données temps réel,2020-03-02,00:00,60616,61500,60600,169,13,2712,46193,7818,0,9020,-278,742,-5906,25,-1604,1526,-1451,-2743,-997,2,21,146,0,2511,201,0,6223,2502,295,205,289,248
France,Données temps réel,2020-03-02,00:15,60607,60750,59650,168,12,2716,46616,7701,0,8631,-746,740,-5370,25,,,,,,1,21,146,-2,2518,200,0,6021,2129,481,203,289,248
France,Données temps réel,2020-03-02,00:30,58720,60000,58700,169,13,2698,46309,7633,0,7982,-1352,740,-5608,25,-1604,1526,-1451,-2743,-918,2,21,146,-1,2505,194,0,5951,1652,379,204,288,248
France,Données temps réel,2020-03-02,00:45,57391,58850,57950,168,12,2698,45571,7808,0,7985,-1839,740,-5884,26,,,,,,1,21,146,-1,2499,200,0,5900,1725,360,203,289,248
France,Données temps réel,2020-03-02,01:00,57108,57700,57200,168,12,2706,45608,7683,0,7953,-1843,740,-6043,26,-1604,913,-698,-2844,-1622,1,21,146,-2,2501,207,0,5842,1750,361,203,289,248
France,Données temps réel,2020-03-02,01:15,57167,57400,57300,168,13,2640,46145,7531,0,7957,-1943,740,-6214,25,,,,,,1,21,146,-2,2500,142,0,5838,1889,230,203,289,248
France,Données temps réel,2020-03-02,01:30,56630,57100,57400,169,12,2693,45813,7420,0,7903,-1959,737,-6279,26,-1604,913,-698,-2844,-1502,2,21,146,-1,2502,192,0,5836,1831,236,200,289,248
France,Données temps réel,2020-03-02,01:45,56674,57100,57150,168,13,2698,45617,7398,0,7963,-1957,735,-6092,26,,,,,,1,21,146,-2,2501,199,0,5838,1892,233,199,288,248
France,Données temps réel,2020-03-02,02:00,56239,57100,56900,168,12,2707,45312,7324,0,7907,-1957,735,-6095,26,-1604,1132,-428,-2795,-2491,1,21,146,-1,2501,207,0,5822,1854,231,199,288,248
France,Données temps réel,2020-03-02,02:15,56461,56600,56200,169,12,2696,45362,7326,0,7854,-2122,734,-5704,26,,,,,,2,21,146,-1,2492,205,0,5742,2112,0,198,288,248
France,Données temps réel,2020-03-02,02:30,55383,56100,55500,169,13,2704,44872,7444,0,7722,-2122,736,-6278,27,-1604,1132,-428,-2795,-2616,2,21,146,-1,2494,211,0,5719,2003,0,199,289,248
France,Données temps réel,2020-03-02,02:45,54480,55250,54700,168,12,2693,44586,7539,0,7724,-2431,736,-6672,27,,,,,,1,21,146,-1,2493,201,0,5771,1953,0,199,289,248
France,Données temps réel,2020-03-02,03:00,53998,54400,53900,168,11,2711,44522,7606,0,7647,-2514,737,-7017,27,-1604,725,-974,-2818,-3083,1,21,146,0,2493,218,0,5784,1863,0,200,289,248
France,Données temps réel,2020-03-02,03:15,53608,54150,53600,169,12,2713,44997,7752,0,7799,-2754,736,-7943,27,,,,,,2,21,146,-1,2494,220,0,5774,2025,0,200,288,248
France,Données temps réel,2020-03-02,03:30,53254,53900,53300,169,12,2761,44915,7945,0,7794,-2759,738,-8448,27,-1604,725,-974,-2818,-3571,2,21,146,0,2494,267,0,5791,2003,0,201,289,248
France,Données temps réel,2020-03-02,03:45,52851,53600,52750,168,12,2833,44886,8128,0,7785,-3064,736,-8761,27,,,,,,1,21,146,-1,2492,342,0,5815,1970,0,200,288,248
France,Données temps réel,2020-03-02,04:00,52560,53300,52200,168,12,2927,44441,8124,0,7646,-3063,737,-8554,28,-1604,614,-909,-2878,-3564,1,21,146,-1,2490,438,0,5797,1849,0,200,289,248
France,Données temps réel,2020-03-02,04:15,52570,53300,52300,168,12,3115,44481,7989,0,7716,-3064,737,-8711,30,,,,,,1,21,146,-2,2490,627,0,5854,1862,0,200,289,248
France,Données temps réel,2020-03-02,04:30,52668,53300,52400,168,12,3257,44439,7885,0,7709,-3065,737,-8605,31,-1604,614,-909,-2878,-4004,1,21,146,-1,2494,764,0,5862,1847,0,199,290,248
France,Données temps réel,2020-03-02,04:45,52702,53800,52750,167,12,3276,44884,7660,0,7936,-2707,740,-9394,30,,,,,,0,21,146,-1,2488,789,0,5886,2050,0,201,291,248
France,Données temps réel,2020-03-02,05:00,53052,54300,53100,167,12,3604,44964,7470,0,8062,-2709,738,-9385,32,-1753,777,-2752,-3048,-3006,0,21,146,-1,2490,1115,0,5941,1994,127,199,291,248
France,Données temps réel,2020-03-02,05:15,54563,55350,54250,167,12,3806,45877,7328,0,8326,-1262,739,-10561,32,,,,,,0,21,146,-1,2497,1310,0,6006,2175,145,200,291,248
France,Données temps réel,2020-03-02,05:30,55417,56400,55400,169,13,4107,46330,7078,0,8497,-1261,739,-10385,34,-1753,777,-2752,-3048,-3290,2,21,146,-1,2495,1613,0,6022,2194,281,200,291,248
France,Données temps réel,2020-03-02,05:45,56282,57650,56600,168,11,4475,46782,6700,0,8840,-940,737,-10621,36,,,,,,1,21,146,-1,2513,1963,0,6058,2310,472,199,290,248
France,Données temps réel,2020-03-02,06:00,57808,58900,57800,168,11,5103,46892,6476,0,8814,-929,735,-9592,40,-2000,1600,-2970,-2978,-2563,1,21,146,-1,2568,2536,0,6120,2241,453,199,288,248
France,Données temps réel,2020-03-02,06:15,60361,60800,59800,169,11,5952,47252,6303,0,9657,-26,735,-9820,43,,,,,,2,21,146,-1,2647,3306,0,6206,2956,495,198,289,248
France,Données temps réel,2020-03-02,06:30,61827,62700,61800,168,11,6386,47214,6085,0,11088,-33,733,-9958,45,-2000,1600,-2970,-2978,-3276,1,21,146,-1,2646,3741,0,6267,4265,556,197,288,248
France,Données temps réel,2020-03-02,06:45,63202,64200,63350,169,12,6731,47403,5841,0,12400,-34,736,-10186,46,,,,,,2,21,146,0,2648,4083,0,6446,4645,1309,199,289,248
France,Données temps réel,2020-03-02,07:00,64926,65700,64900,167,11,6946,47236,5675,0,12649,-37,738,-8588,47,-2000,1500,-3097,-2439,-905,0,21,146,0,2647,4299,0,6522,4753,1374,200,290,248
France,Données temps réel,2020-03-02,07:15,65644,66550,65650,169,13,7224,47351,5682,0,11866,-23,736,-7519,49,,,,,,2,21,146,0,2657,4567,0,6751,4261,854,199,289,248
France,Données temps réel,2020-03-02,07:30,66416,67400,66400,169,12,7328,47398,5577,161,12531,-28,736,-7468,49,-2000,1500,-3097,-2439,-1085,2,21,146,-1,2653,4676,0,6837,4431,1263,200,288,248
France,Données temps réel,2020-03-02,07:45,66818,67950,67000,169,13,7433,47660,5517,178,13094,-34,735,-7947,49,,,,,,2,21,146,-1,2651,4783,0,6759,4696,1639,198,289,248
France,Données temps réel,2020-03-02,08:00,67628,68500,67600,167,12,7415,47347,5425,207,12824,-34,737,-6472,49,-2000,1500,-3122,-1744,131,0,21,146,0,2650,4765,0,6733,4459,1632,200,289,248
France,Données temps réel,2020-03-02,08:15,67693,68900,68100,169,13,7666,47311,5318,284,11866,-18,738,-5654,51,,,,,,2,21,146,-1,2653,5014,0,6759,3686,1421,201,289,248
France,Données temps réel,2020-03-02,08:30,68573,69300,68600,168,13,7930,47410,5357,375,12162,-25,737,-5554,52,-2000,1500,-3122,-1744,605,1,21,146,0,2653,5277,0,6854,3799,1509,199,290,248
France,Données temps réel,2020-03-02,08:45,69434,69800,69250,169,12,7558,47605,5363,462,12792,-49,733,-5211,50,,,,,,2,21,146,0,2657,4901,0,6991,4188,1613,197,288,248
France,Données temps réel,2020-03-02,09:00,69936,70300,69900,169,12,7624,47799,5094,569,12942,-49,733,-4957,50,-2000,1461,-3117,-2065,1561,2,21,146,0,2655,4969,0,7037,4257,1648,198,287,248
France,Données temps réel,2020-03-02,09:15,69980,70650,70400,168,12,7644,47784,5034,737,12547,-49,735,-4632,50,,,,,,1,21,146,-1,2649,4996,0,7012,4018,1517,198,289,248
France,Données temps réel,2020-03-02,09:30,70707,71000,70900,169,11,7677,47764,5029,921,12693,-49,733,-4241,50,-2000,1461,-3117,-2065,1793,2,21,146,0,2646,5031,0,7030,4094,1569,197,288,248
France,Données temps réel,2020-03-02,09:45,70415,71000,70650,169,13,7756,47749,4893,997,12112,-41,735,-3968,51,,,,,,2,21,146,-1,2645,5112,0,7061,3862,1189,198,289,248
